thread_id	frontier_id	priority	domain	mechanism	current_evidence	completion_state	required_observation	execution_class	canonical_data_target	completion_gate	falsification_condition	disposition	merged_evidence_commit
PRRT_kwDOR3YK5M6EPmCQ	sfn-local-group-constraint-diagnostic-EPmCQ	unbadged	r600-sfn	sfn-local-group-constraint-diagnostic	The scheduler names the shared rejection state and operator diagnostic local group constraint rather than readport exhaustion	closed	Compare the flag domain with every set site and emitted failure label	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr.h;src/gallium/drivers/r600/sfn/sfn_scheduler.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A generic local rejection is mislabeled as readport exhaustion	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6EPn7b	sfn-local-constraint-rollback-signal-EPn7b	P1	r600-sfn	sfn-local-constraint-rollback-signal	The local group split signal is scoped by schedule_alu and survives speculative KCACHE rollback	closed	Trace the PV and PS rejection path through rollback and the following clause-split decision	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr.h;src/gallium/drivers/r600/sfn/sfn_scheduler.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Speculative rollback clears the signal and permits malformed bundle fallback	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6EPn7c	sfn-local-group-constraint-scope-EPn7c	P1	r600-sfn	sfn-local-group-constraint-scope	The signal explicitly covers readport, slot-type, and co-issue local group constraints and is gated away from LDS and live address-register boundaries	closed	Inspect all mark sites and require the clause split only where the boundary is legal	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr.h;src/gallium/drivers/r600/sfn/sfn_scheduler.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A nonlocal rejection is forced through the local clause-split path	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6EPn7d	sfn-local-constraint-attempt-scope-EPn7d	P2	r600-sfn	sfn-local-constraint-attempt-scope	schedule_alu clears local_group_constraint_failed at the start of every scheduling attempt	closed	Trace signal lifetime from attempt entry through group finalization or failure handling	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr.h;src/gallium/drivers/r600/sfn/sfn_scheduler.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A stale local rejection leaks into a later unrelated scheduling attempt	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6EPn7f	sfn-local-constraint-lds-guard-EPn7f	P2	r600-sfn	sfn-local-constraint-lds-guard	try_schedule_vec_candidate marks the split signal only when no LDS group is active and no address-register value crosses the boundary	closed	Inspect LDS and address-register guards at the signal producer and both split consumers	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr.h;src/gallium/drivers/r600/sfn/sfn_scheduler.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	An active LDS group reaches the KCACHE failure assertion through a generic local rejection	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6Fjynl	build-size-profile-contract-retirement-Fjynl	P2	build-infra	build-size-profile-contract-retirement	The reviewed gororoba-terakan default profile was removed; current numbered profiles own optimization through their Meson built-in options	closed	Confirm the removed default profile cannot select debugoptimized while claiming a size lane	offline-source-history	build-infra/env/generic-x86-64-os.env;build-infra/configs	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A current canonical size profile relies on a machine-file project option that Meson ignores	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6Fjynn	build-stable-lto-retirement-Fjynn	P2	build-infra	build-stable-lto-retirement	The consolidation document no longer requires the reviewed MODE stable thin-LTO lane; current canonical profiles are numbered explicit configurations	closed	Confirm no retirement gate requires unsupported LTO setup	offline-source-history	build-infra/LANE_CONSOLIDATION.md;build-infra/Makefile#L371-L378	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A current lane-retirement gate again depends on unsupported LTO without its required override	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6FqCv_	build-package-install-hook-content-FqCv_	unbadged	build-infra	build-package-install-hook-content	mesa-gororoba.install contains operator-facing installation, loader, LLVM-coupling, rollback, and activation diagnostics	closed	Require the PKGBUILD install reference to resolve to a nonempty parseable scriptlet with its declared diagnostics	offline-source-history	build-infra/packaging/mesa-gororoba/PKGBUILD;build-infra/packaging/mesa-gororoba/mesa-gororoba.install	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The package references an empty hook while claiming behavior supplied only by that hook	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6FvDcO	build-deploy-transaction-wording-FvDcO	unbadged	build-infra	build-deploy-transaction-wording	The Makefile and deployment tool describe a package-declared replacement transaction without claiming an atomic swap	closed	Scan deployment prose and diagnostics for transaction semantics without atomicity claims	offline-source-history	build-infra/Makefile#L3394-L3422;build-infra/scripts/deploy_mesa_gororoba.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Deployment prose again promises atomicity that pacman cannot guarantee	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6FvDc8	build-repo-local-package-area-FvDc8	unbadged	build-infra	build-repo-local-package-area	The reviewed workspace-sibling path was replaced by the repository-relative ../build package and repository variables	closed	Compare the package directory comment with GOROROBA_PKG_DIR and GOROROBA_REPO_DIR	offline-source-history	build-infra/Makefile#L3394-L3404	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Package artifacts again escape to an undocumented workspace-local sibling path	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6FvDdN	build-deploy-explicit-consent-FvDdN	unbadged	build-infra	build-deploy-explicit-consent	The deployment tool requires both DEPLOY_MESA_GOROROBA=1 and an exact target host before package transfer or remote pacman execution	closed	Exercise unset, empty, zero, wrong-host, and exact-consent paths before any remote command	offline-build-test	build-infra/scripts/deploy_mesa_gororoba.py;build-infra/tests/test_deploy_mesa_gororoba.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A mistyped or unconsented make invocation reaches remote package mutation	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6FvTgr	build-deploy-package-owned-conflicts-FvTgr	unbadged	build-infra	build-deploy-package-owned-conflicts	The deployment tool runs pacman --noconfirm without yes or wildcard overwrite and delegates file replacement to package metadata	closed	Inspect the rendered remote command and reject stdin automation or overwrite globs	offline-build-test	build-infra/scripts/deploy_mesa_gororoba.py;build-infra/tests/test_deploy_mesa_gororoba.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Remote deployment pipes yes or enables an unrestricted overwrite pattern	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6Fvkfc	build-package-area-comment-alignment-Fvkfc	unbadged	build-infra	build-package-area-comment-alignment	The package artifact comment and both directory variables resolve under ../build	closed	Compare the adjacent comment with the literal GOROROBA package and repository directory expressions	offline-source-history	build-infra/Makefile#L3394-L3404	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment names a different build-root depth from the variables it documents	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6F2_hH	vl-mpeg12-scratch-plane-comment-F2_hH	unbadged	gallium-vl	vl-mpeg12-scratch-plane-comment	The decoder names the scratch-plane identity and explains its allocation and render-target roles without branch chronology	closed	Compare the source comment with plane allocation and component-view consumers	offline-source-history	src/gallium/auxiliary/vl/vl_mpeg12_decoder.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment again reduces buffer_format to plane count or embeds project chronology	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6F2_hO	vl-mpeg12-scratch-plane-order-F2_hO	unbadged	gallium-vl	vl-mpeg12-scratch-plane-order	The decoder uses PIPE_FORMAT_IYUV for the three-plane Y U V scratch allocation	closed	Trace scratch format through plane count and component-view ordering	offline-source-history	src/gallium/auxiliary/vl/vl_mpeg12_decoder.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The scratch format encodes Y V U while consumers interpret Y U V	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6F2_hT	vl-mpeg12-scratch-plane-order-F2_hT	unbadged	gallium-vl	vl-mpeg12-scratch-plane-order	The decoder uses PIPE_FORMAT_IYUV consistently for the scratch buffer and its three-plane identity	closed	Inspect every scratch buffer format assignment and component-view route	offline-source-history	src/gallium/auxiliary/vl/vl_mpeg12_decoder.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Any scratch allocation returns to YV12 ordering without matching consumer changes	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6F6A8h	vl-vertex-input-driver-location-F6A8h	P2	gallium-vl	vl-vertex-input-driver-location	vl_nir assigns each vertex input driver_location from its fixed VERT_ATTRIB_GENERIC0-relative slot and preserves gaps	closed	Inspect IDCT and passthrough shaders and require driver locations to match bound vertex-element indices	offline-build-test	src/gallium/auxiliary/vl/vl_nir.c;src/gallium/auxiliary/vl/tests/vl_nir_vertex_io_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A sparse VL vertex input is compacted onto another bound row	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6F6_7V	nouveau-latency-test-build-tests-gate-F6_7V	P2	nouveau	nouveau-latency-test-build-tests-gate	The nouveau_lat_rs_gen test registration is enclosed by if with_tests	closed	Configure with build-tests disabled and require the test to remain unregistered	offline-source-history	src/nouveau/compiler/latencies/meson.build	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The latency unit test registers when with_tests is false	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6F6_8U	nouveau-latency-empty-identifier-guard-F6_8U	unbadged	nouveau	nouveau-latency-empty-identifier-guard	to_camel explicitly special-cases only the empty string before string operations; invalid non-string inputs still fail	closed	Exercise empty string, None, zero, and valid identifiers against the helper	offline-build-test	src/nouveau/compiler/latencies/lat_rs_gen.py;src/nouveau/compiler/latencies/test_lat_rs_gen.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A non-string falsy input silently passes through identifier conversion	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6F6_8V	nouveau-latency-csv-newline-mode-F6_8V	unbadged	nouveau	nouveau-latency-csv-newline-mode	lat_rs_gen.reader opens CSV input with newline empty as required by csv.reader	closed	Inspect the file-opening mode and exercise mixed platform line endings	offline-build-test	src/nouveau/compiler/latencies/lat_rs_gen.py;src/nouveau/compiler/latencies/test_lat_rs_gen.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	CSV input is reopened with universal newline translation enabled	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6F7OTa	terascale-format-test-sys-path-scope-F7OTa	unbadged	terascale-common	terascale-format-test-sys-path-scope	The test snapshots sys.path, loads the generator through an explicit module spec, and restores sys.path in finally	closed	Import the test beside unrelated modules and require the original search path after collection	offline-build-test	src/amd/terascale/common/test_terascale_formats.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Test collection leaves a persistent module search-path mutation	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6F7OUm	terascale-format-test-yaml-isolation-F7OUm	P2	terascale-common	terascale-format-test-yaml-isolation	The test loads the real generator without installing a MagicMock yaml module into global sys.modules	closed	Collect the test with another PyYAML consumer and require real yaml.dump behavior	offline-build-test	src/amd/terascale/common/test_terascale_formats.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Collection replaces the process-wide yaml module with a mock	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6F7Oda	terascale-format-test-meson-registration-F7Oda	unbadged	terascale-common	terascale-format-test-meson-registration	The Terascale format Python test is registered inside with_tests in the common Meson build	closed	Configure with tests enabled and require terascale_formats_py in the amd suite	offline-build-test	src/amd/terascale/common/meson.build;src/amd/terascale/common/test_terascale_formats.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The test remains manual-only or registers when tests are disabled	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6F-qkY	radeon-rs480-debugfs-space-separator-F-qkY	P2	radeon-winsys	radeon-rs480-debugfs-space-separator	The RS480 debugfs parser accepts whitespace-delimited AGP_BASE_2, GART_BASE, and GART_FEATURE_ID lines in addition to equals-delimited forms	closed	Feed kernel-format debugfs lines through the parser and require all three register values	offline-build-test	src/gallium/winsys/radeon/drm/radeon_drm_winsys.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Kernel rs400_debugfs_gart_info_show output yields zero parsed registers	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6GBJ63	build-package-share-parent-creation-GBJ63	unbadged	build-infra	build-package-share-parent-creation	The release package first created usr/share before the reviewed alias and later removed that alias when usr/share became a real package directory	closed	Trace every current compatibility link to an existing parent and require real usr/share package content to remain a directory	offline-source-history	build-infra/packaging/mesa-gororoba/PKGBUILD	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A package symlink again targets a missing parent or collides with the real share directory	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6GBJ7B	build-package-makedepends-ownership-GBJ7B	unbadged	build-infra	build-package-makedepends-ownership	The release package separates runtime libraries in depends from the trimmed compiler, generator, protocol, and build-tool set in makedepends	closed	Run makepkg printsrcinfo and namcap and require no unexplained depends and makedepends duplication	offline-source-history	build-infra/packaging/mesa-gororoba/PKGBUILD	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Runtime-only libraries return to makedepends without a build-time requirement	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6GBJ7F	build-release-env-activation-contract-GBJ7F	unbadged	build-infra	build-release-env-activation-contract	The system release package owns its environment under /etc/opt, /etc/profile.d, /usr/lib/environment.d, and the mesa-gororoba-run wrapper; the retired opt share path is outside the current contract	closed	Trace every supported activation entry to the package-owned /etc or /usr policy file	offline-source-history	build-infra/packaging/mesa-gororoba/PKGBUILD;build-infra/packaging/mesa-gororoba/mesa-gororoba-run	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A supported launcher still depends on the removed prefix share env script	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6GBJ7M	build-debug-package-tier-retirement-GBJ7M	unbadged	build-infra	build-debug-package-tier-retirement	The reviewed mesa-gororoba-debug package was removed and replaced by explicit debug-asan, debug-o0, and debug-optimized tier packages with distinct activation contracts	closed	Confirm the old package path is absent and each replacement tier owns its wrapper or system activation explicitly	offline-source-history	build-infra/packaging/mesa-gororoba-debug-optimized/PKGBUILD;build-infra/packaging/mesa-gororoba-debug-o0/PKGBUILD;build-infra/packaging/mesa-gororoba-debug-asan/PKGBUILD	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The retired package returns or a replacement silently relies on its removed share env path	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6GNz7_	build-results-policy-visibility-GNz7_	P1	build-infra	build-results-policy-visibility	build-infra/.gitignore no longer hides results, so misplaced retained bundles remain visible to git status and review	closed	Run git check-ignore on a synthetic build-infra/results path and require a nonignored result	offline-source-history	build-infra/.gitignore	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A broad ignore rule again hides policy-violating retained result bundles	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6GTZAR	gpuvis-child-log-open-failure-GTZAR	unbadged	util-perf	gpuvis-child-log-open-failure	The trace-cmd child exits 127 when its requested log file cannot be opened instead of inheriting parent output streams	closed	Force log open failure and require child failure without exec or parent-stream leakage	offline-source-history	src/util/perf/gpuvis_trace_utils.h	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A failed child log open continues into execvp with inherited stdout or stderr	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6G1TJX	vl-zscan-aligned-row-normalization-G1TJX	unbadged	gallium-vl	vl-zscan-aligned-row-normalization	The zscan vertex shader normalizes centered block rows by DIV_ROUND_UP of blocks_total and blocks_per_line	closed	Evaluate the final complete and partial rows and require normalized coordinates strictly below one	offline-build-test	src/gallium/auxiliary/vl/vl_zscan.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The last legal row reaches one or wraps to row zero under REPEAT	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6G1TaH	vl-zscan-partial-row-normalization-G1TaH	P2	gallium-vl	vl-zscan-partial-row-normalization	The centered row coordinate uses the allocated rounded-up source row count for partial final rows	closed	Exercise a nondivisible block count and require the final row center to remain within its texture extent	offline-build-test	src/gallium/auxiliary/vl/vl_zscan.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A partial-row stream normalizes by unaligned blocks_total and samples row zero	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6G2b8t	vl-idct-packed-texel-center-derivation-G2b8t	unbadged	gallium-vl	vl-idct-packed-texel-center-derivation	The IDCT comment derives the stepped start and x lane bias as 0.5 divided by buffer_width over four and distinguishes the row lane bias	closed	Compare the comment constants with calc_addr sizes and the emitted l_center vector	offline-source-history	src/gallium/auxiliary/vl/vl_idct.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment obscures which lane is biased or stops matching the packed coefficient width	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6G3Dg1	build-package-meson-idempotency-G3Dg1	unbadged	build-infra	build-package-meson-idempotency	The package build function removes its private build directory before meson setup, and installation uses meson install --no-rebuild	closed	Execute two packaging preparations in the same source directory and require the second Meson setup to succeed	offline-source-history	build-infra/packaging/mesa-gororoba/PKGBUILD	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A repeated makepkg run reaches Meson with a stale configured build directory	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6HIMhb	gpuvis-foreground-wait-eintr-HIMhb	P2	util-perf	gpuvis-foreground-wait-eintr	Foreground trace-cmd waiting retries waitpid on EINTR and evaluates the reaped child status only after a completed wait	closed	Interrupt foreground waitpid and require the direct child to be reaped without a spurious failure	offline-source-history	src/util/perf/gpuvis_trace_utils.h	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	EINTR escapes the wait loop and leaves a zombie or false tracing failure	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6QY1DG	vl-single-attribute-passthrough-QY1DG	unbadged	gallium-vl	vl-single-attribute-passthrough	vl_nir_vs_passthrough reuses position as texcoord when num_tc equals one and allocates separate attributes only for multiple texcoords	closed	Inspect and execute one-attribute and multi-attribute passthrough fixtures against their bound vertex rows	offline-build-test	src/gallium/auxiliary/vl/vl_nir.c;src/gallium/auxiliary/vl/tests/vl_nir_vertex_io_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A one-element VL caller reads unbound generic attribute one	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6QY1D4	draw-tgsi-reference-failure-message-QY1D4	unbadged	gallium-draw	draw-tgsi-reference-failure-message	The NULL nir_to_tgsi branch reports that TGSI reference compilation was expected to succeed	closed	Force a NULL TGSI reference result and require the diagnostic to describe the failed expectation	offline-build-test	src/gallium/auxiliary/draw/tests/draw_vs_nir_raw_output_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The failure message again claims tokens were returned in the NULL branch	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6QY1Dk	vl-passthrough-layout-comment-QY1Dk	unbadged	gallium-vl	vl-passthrough-layout-comment	vl_nir.h documents position reuse for num_tc one and distinct attributes one through num_tc only for multi-texture layouts	closed	Compare the public helper contract with every current vertex-element binding pattern	offline-source-history	src/gallium/auxiliary/vl/vl_nir.h;src/gallium/auxiliary/vl/vl_nir.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The header again requires separate texcoord rows from legacy one-element callers	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
PRRT_kwDOR3YK5M6QY6A5	draw-driver-location-output-order-QY6A5	P1	gallium-draw	draw-driver-location-output-order	Draw rebinds lowered intrinsic bases to retained variables' final driver locations and scans metadata from that same row authority	closed	Run the POS PSIZ COL0 regression and require metadata and stored rows to share driver order	offline-build-test	src/gallium/auxiliary/draw/draw_vs_nir.c;src/gallium/auxiliary/draw/tests/draw_vs_nir_raw_output_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Point size and color metadata are redensed by semantic slot while stores retain driver order	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e
