thread_id	frontier_id	priority	domain	mechanism	current_evidence	completion_state	required_observation	execution_class	canonical_data_target	completion_gate	falsification_condition	disposition	merged_evidence_commit
PRRT_kwDOR3YK5M6TxcMt	headless-driswras-client-provider-evidence	P2	hardware-runner	headless-driswras-client-provider-evidence	The procedure classifies server-side AIGLX and direct-client identities separately and requires the direct GLX and EGL-X11 loader and renderer checks	closed	Inspect the independent server-provider and direct-client admission checks	offline-source-history	headless-hardware-gl-runner.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A direct-rendering client can load hardware Mesa while the document labels the display software-only	fixed	20286a21d04942790561bc931ea332eb59b6214b
PRRT_kwDOR3YK5M6Ty_L1	driver-root-predicate-binding	P2	build-infra	driver-root-predicate-binding	The Meson AST audit binds each AMD Vulkan root to its exact predicate and rejects false, nested, alternate, loop, duplicate, assigned, or shadowed predicate paths	closed	Run the driver-root self-test and live three-root audit	offline-source-history	build-infra/scripts/driver_root_audit.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A loader-only or Gallium-backed driver root can disappear behind the wrong predicate while the audit passes	fixed	4ef62b7e547e76ef64806f2b0d8fc07edb98fe9d
PRRT_kwDOR3YK5M6Ty_L2	driver-root-manifest-exact-output	P2	build-infra	driver-root-manifest-exact-output	The structural manifest audit requires the complete stem.cpu.json form, installation, exact Vulkan ICD directory, and top-level target while calibrated txt and backup suffixes fail	closed	Run the manifest-output calibrations for all three AMD Vulkan families	offline-source-history	build-infra/scripts/driver_root_audit.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	An r3v or Terakan non-JSON artifact can satisfy the manifest-output gate	fixed	4ef62b7e547e76ef64806f2b0d8fc07edb98fe9d
PRRT_kwDOR3YK5M6Ty_L3	driver-root-family-leaf-gates	P2	build-infra	driver-root-family-leaf-gates	The audit iterates the complete AMD_VULKAN_FAMILIES map and rejects RADV, Terakan, or R3V driver-named pass-through leaves, including broken symlinks	closed	Run the three-family leaf and broken-symlink calibrations	offline-source-history	build-infra/scripts/driver_root_audit.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	RADV or another audited family can become a pass-through root with a driver-named leaf while the audit passes	fixed	4ef62b7e547e76ef64806f2b0d8fc07edb98fe9d
PRRT_kwDOR3YK5M6TzUAO	hbtcl-hang-signature-separation	P1	rs482-docs	hbtcl-hang-signature-separation	The HBTCL ledger keeps the unsignaled VAP_BUSY and GA_BUSY fence stall open under its exact rerun and routes completed wrong-pixel draws independently to stale-US RCA	closed	Inspect the distinct hang and completed-draw signatures and their independent closure criteria	offline-source-history	docs/hardware/rs482-hybrid-vertex-tcl-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A completed stale-program draw and an unsignaled busy fence remain one asserted RCA without hardware evidence	fixed	3bc0603dc2dd0d00e13cfbef5554ba700aa78ac0
PRRT_kwDOR3YK5M6TzUAP	hbtcl-demand-evidence-citation	P1	rs482-docs	hbtcl-demand-evidence-citation	The demand gate cites the retained 108-cell census with exact commands, class counts, source commits, kernel and boot scope, hash manifest, and uncaptured-population boundary	closed	Verify the retained census hashes and inspect the workload, count, provenance, and reopening boundary	offline-source-history	docs/hardware/rs482-hybrid-vertex-tcl-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A demand-dependent status change remains unsupported by retained population evidence	fixed	3bc0603dc2dd0d00e13cfbef5554ba700aa78ac0
PRRT_kwDOR3YK5M6TzUAQ	hbtcl-executable-sha-completion	P2	rs482-docs	hbtcl-executable-sha-completion	HBTCL-04f.3R now names its diagnostic executable commit and controlled-corpus result instead of combining DONE with a missing executable witness	closed	Inspect the HBTCL-04f.3R row for one executable identity and its corpus verdict	offline-source-history	docs/hardware/rs482-hybrid-vertex-tcl-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The row again claims completion while requiring an unnamed future executable SHA	fixed	a2bfd6032c81faa75994dfd4f57b279200a0776f
PRRT_kwDOR3YK5M6T0Eow	vl-cavlc-validation-criterion-comment	unbadged	vl	vl-cavlc-validation-criterion-comment	The test names its independent Python encoder and requires exact TotalCoeff plus scan-order coefficient equality for every vector	closed	Run the focused CAVLC block test and inspect its explicit expected-value oracle	offline-source-history	src/gallium/auxiliary/vl/tests/vl_h264_cavlc_block_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment still depends on session-relative wording to explain what the oracle proves	fixed	9025fe619e85f28f3ee0dd510abeeb27adfbbc70
PRRT_kwDOR3YK5M6T0Eoz	vl-cavlc-local-bound-rationale	unbadged	vl	vl-cavlc-local-bound-rationale	The source proves total_coeff through max_num_coeff and VL_H264_CAVLC_MAX_COEFF for level and run indices and names the separate coeff_num guard for coeff[]	closed	Run the focused CAVLC block test and inspect the exact level, run, and coefficient index bounds	offline-source-history	src/gallium/auxiliary/vl/vl_h264_cavlc.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The stated local bound can be read as authorizing an index outside the actual table domain	fixed	9025fe619e85f28f3ee0dd510abeeb27adfbbc70
PRRT_kwDOR3YK5M6VAnci	rs482-stack-build-id-nonempty	P2	rs482-evidence	rs482-stack-build-id-nonempty	The v2 stack-manifest schemas require nonempty hexadecimal Build IDs and their fixtures reject empty values	closed	Run the schema calibration after clearing each required Build ID	offline-source-history	docs/hardware/rs482-stack-manifest.schema.json;docs/hardware/tests/test_rs482_stack_manifest_schema.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A v2 manifest with an empty or nonhexadecimal required Build ID validates	fixed	a2bfd6032c81faa75994dfd4f57b279200a0776f
PRRT_kwDOR3YK5M6VAnck	rs482-schema-verifier-dependency	P2	rs482-evidence	rs482-schema-verifier-dependency	The documented clean-environment path pins jsonschema 4.26.0 and the verifier passes all four tests from a fresh Python 3.14 virtual environment	closed	Create a fresh virtual environment from the pinned requirements file, confirm the jsonschema version, and run the verifier	offline-source-history	docs/hardware/rs482-source-authority.md;docs/hardware/tests/requirements-rs482-stack-manifest.txt;docs/hardware/tests/test_rs482_stack_manifest_schema.py	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	The documented validation command fails in ordinary supported CPython because jsonschema is unavailable	fixed	82b7f3491b25b02063d31952b566c873ca5b2d8e
PRRT_kwDOR3YK5M6VAncm	rs482-manifest-digest-exact-length	P2	rs482-evidence	rs482-manifest-digest-exact-length	The shared SHA-256 and Git-object definitions require exact lengths, and the mutation corpus rejects short, long, and final-newline identities at their exact paths	closed	Run the identity-mutation calibration and inspect the exact minLength and maxLength constraints	offline-source-history	docs/hardware/rs482-stack-manifest.schema.json;docs/hardware/tests/rs482-stack-manifest-schema/invalid-v2-identity-mutations.json;docs/hardware/tests/test_rs482_stack_manifest_schema.py	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	A digest with a trailing newline or wrong byte length passes the v2 schema	fixed	82b7f3491b25b02063d31952b566c873ca5b2d8e
PRRT_kwDOR3YK5M6VIJld	mount-calibration-tmpdir-root	unbadged	build-infra	mount-calibration-tmpdir-root	The calibration delegates audit-root selection to tempfile, and its regression sets a non-default TMPDIR, clears the tempfile cache, and requires the created root beneath that directory	closed	Run the mount-boundary unit tests and inspect the selected-temporary-root assertion	offline-source-history	build-infra/tests/mount_boundary_calibration.py;build-infra/tests/test_mount_boundary_calibration.py	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	A caller-selected TMPDIR leaves the calibration mount rooted under /tmp	fixed	3980f87045a5a6cbb856b9f299cb52eaf8b29415
PRRT_kwDOR3YK5M6VINuf	source-view-bare-repository-root-uid-isolation	P2	build-infra	source-view-bare-repository-root-uid-isolation	A shared test-only build namespace lets both bare-repository fixtures reach their intended Git-directory diagnostics under real uid 0; the production root namespace rejection remains exact	closed	Run the bare-repository fixtures as uid 0 and require their intended Git-directory diagnostics	offline-source-history	build-infra/tests/test_source_root_control.py;build-infra/scripts/source_root_control.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A root-run bare-repository test reaches trusted_account_home before its declared source-view assertion	fixed	59593fda660a7603789c895c479c2bb38d5140fa
PRRT_kwDOR3YK5M6VINun	source-view-clean-filter-isolation	P1	build-infra	source-view-clean-filter-isolation	Tracked regular files are hashed with hash-object --no-filters under isolated Git configuration, and the hostile clean-filter fixture proves the filter neither executes nor hides a physical mutation	closed	Run the source-root tests and inspect the raw tracked-file hashing plus hostile clean-filter calibration	offline-source-history	build-infra/scripts/source_root_control.py;build-infra/tests/test_source_root_control.py	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	A physical tracked-file modification can be transformed away or execute a local clean filter during source-root validation	fixed	59593fda660a7603789c895c479c2bb38d5140fa
PRRT_kwDOR3YK5M6VINus	source-view-meson-wrap-finalization	P1	build-infra	source-view-meson-wrap-finalization	Derived source views admit hashed Meson wrap population as generated build input, so required Vulkan-Profiles content does not invalidate successful setup finalization	closed	Run a zink-enabled external setup that populates Vulkan-Profiles and verify final identity reaches the build gate	offline-source-history	build-infra/scripts/source_root_control.py;build-infra/tests/test_source_root_control.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Required wrap population makes a successful external setup remain provisional	fixed	a2bfd6032c81faa75994dfd4f57b279200a0776f
PRRT_kwDOR3YK5M6Vtysx	draw-nir-decline-reason-null-safety	unbadged	draw	draw-nir-decline-reason-null-safety	The NIR admission gate initializes decline_reason to the nonnull unsupported fallback, and every specific rejection path replaces it before telemetry formats the decline	closed	Inspect the default decline reason and run telemetry rejection cases with nonempty reasons	offline-source-history	src/gallium/auxiliary/draw/draw_vs_nir.c	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	A future unsupported path can reach formatted telemetry with why equal to NULL	fixed	e7656d6bf70d3492a70200cbfb97f8fb646b7c58
PRRT_kwDOR3YK5M6Vty4O	agents-canonical-loader-symlink	P1	governance	agents-canonical-loader-symlink	CLAUDE.md is now a tracked symbolic link to AGENTS.md, so no tool-specific copy of punctuation doctrine can drift	closed	Verify the tracked symlink target and single canonical instruction body	offline-source-history	CLAUDE.md;AGENTS.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	CLAUDE.md becomes an independent prose loader that duplicates operative punctuation rules	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f
PRRT_kwDOR3YK5M6Vty4P	dash-spacing-positive-policy	P1	governance	dash-spacing-positive-policy	The dash-spacing paragraph still contains the negative no-surrounding-spaces restatement beside the positive closed-up form	actionable	Retain the positive closed-up mechanism and remove the redundant absence framing	offline-source-history	AGENTS.md	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	The authoritative rule continues to model a negative construction it prohibits in durable prose	requires-change	none
PRRT_kwDOR3YK5M6Vt0L8	r300-r2vb-screen-scoped-standing-route	P1	r300	r300-r2vb-screen-scoped-standing-route	RS480 standing-route setup still mutates process environment while draw-time gates use function-static caches shared by every screen	actionable	Store raw-submit consent and R2VB member gates in per-screen or per-context state and exercise mixed-screen creation orders	offline-source-history	src/gallium/drivers/r300/r300_screen.c;src/gallium/drivers/r300/r300_r2vb.c	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	One screen can enable or disable the standing route for another GPU in the same process	requires-change	none
PRRT_kwDOR3YK5M6Vt1sV	draw-option-cache-thread-safety	P2	draw	draw-option-cache-thread-safety	The force-bridge and telemetry gates use DEBUG_GET_ONCE_BOOL_OPTION, and the raw-output test releases 16 threads into simultaneous first use and requires stable disabled values	closed	Run the concurrent first-use calibration and inspect both once-option definitions	offline-source-history	src/gallium/auxiliary/draw/draw_vs_exec.c;src/gallium/auxiliary/draw/draw_vs_nir.c;src/gallium/auxiliary/draw/tests/draw_vs_nir_raw_output_test.c	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	Two threads can race while initializing either cached option	fixed	e7656d6bf70d3492a70200cbfb97f8fb646b7c58
PRRT_kwDOR3YK5M6Vt1sX	draw-exec-control-path-discovery-provenance	P1	draw	draw-exec-control-path-discovery-provenance	The force-bridge comment names draw_create_vertex_shader, the r300_draw_init_vertex_shader prefilter, and exact fixed-string searches that reproduce both call maps	closed	Run both named fixed-string searches and compare their results with the comment	offline-source-history	src/gallium/auxiliary/draw/draw_vs_exec.c	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	The comment continues to make an unauditable load-bearing reachability claim	fixed	e7656d6bf70d3492a70200cbfb97f8fb646b7c58
PRRT_kwDOR3YK5M6VuCy0	source-view-test-root-uid-isolation	P2	build-infra	source-view-test-root-uid-isolation	All source-view fixtures use a validated test-only build namespace; the merged-main source-root and mount-boundary suite passes 125 tests as real uid 0 while the exact production root rejection remains active	closed	Run the complete source-view unit target as uid 0 and require the intended fixture verdicts	offline-source-history	build-infra/tests/test_source_root_control.py	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A source-view fixture reaches the real-root namespace rejection before its declared behavior is tested	fixed	59593fda660a7603789c895c479c2bb38d5140fa
PRRT_kwDOR3YK5M6VuCy1	source-view-archive-attribute-isolation	P1	build-infra	source-view-archive-attribute-isolation	Derived source materialization still permits repository-local info/attributes to alter git archive output without changing the recorded commit or tree identity	actionable	Materialize through an attribute-isolated object view or reject ambient archive attributes and calibrate export-subst and export-ignore	offline-source-history	build-infra/scripts/source_root_control.py;build-infra/tests/test_source_root_control.py	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	Two source views with the same commit and tree can differ because of untracked Git attributes	requires-change	none
PRRT_kwDOR3YK5M6VuCy3	install-success-identity-finalization	P1	build-infra	install-success-identity-finalization	The install target still publishes final source and build identities before meson install succeeds and does not revoke them on failure	actionable	Publish an installation-success witness only after install completion and calibrate a post-setup install failure	offline-source-history	build-infra/Makefile;build-infra/scripts/source_root_control.py	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	A failed or partial install leaves identities that artifact-check accepts as final	requires-change	none
PRRT_kwDOR3YK5M6VuCy4	build-control-identity-binding	P1	build-infra	build-control-identity-binding	External source and build identities still omit resolved profile, host, mode, and compiler selectors	actionable	Record and verify all selected build controls in both identity payloads and calibrate selector drift under reused paths	offline-source-history	build-infra/Makefile;build-infra/scripts/source_root_control.py	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	One build root can change profile or compiler policy while retaining an accepted identity	requires-change	none
PRRT_kwDOR3YK5M6VuETV	drm-shim-state-token-registration-identity	P1	drm-shim	drm-shim-state-token-registration-identity	Render registration parses the per-open state-token identity and records the descriptor's own backing identity instead of requiring the anchor inode	closed	Open a normal render node and trace state-token parsing through drm_shim_fd_register	offline-source-history	src/drm-shim/device.c;src/amd/drm-shim/radeon_noop_drm_shim.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A normal render-node open still returns ENODEV because its state-token inode differs from the lock anchor	fixed	a2bfd6032c81faa75994dfd4f57b279200a0776f
PRRT_kwDOR3YK5M6VuETX	drm-shim-raw-alias-backing-identity-fallback	P2	drm-shim	drm-shim-raw-alias-backing-identity-fallback	Raw-alias adoption now compares open-file-description backing identity through F_DUPFD_QUERY, kcmp, and a locked probe path instead of rejecting every inconclusive query	closed	Implement a race-aware backing-identity comparison and calibrate accepted aliases and same-inode nonaliases under forced query errors	offline-source-history	src/drm-shim/device.c;src/amd/drm-shim/radeon_noop_drm_shim.c	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	A raw duplicate loses its shim_fd and GEM table when F_DUPFD_QUERY and kcmp cannot decide identity	fixed	400df9e74aeacc6917410a887a3bf33bf5fda167
PRRT_kwDOR3YK5M6VuETZ	drm-shim-preload-test-spdx-only-header	P2	governance	drm-shim-preload-test-spdx-only-header	The preload test now carries only SPDX-License-Identifier: MIT; the copied unverified copyright line is absent	closed	Remove the copied attribution while retaining the SPDX grant required by current new-file policy	offline-source-history	src/amd/drm-shim/radeon_noop_drm_shim_preload_test.c	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	The new test continues to attribute copyright to a holder unsupported by file history	fixed	4b0c1f55abd1c9d84022973e14fd40d639426ec9
PRRT_kwDOR3YK5M6VuETa	drm-shim-large-lock-type-normalization	P2	drm-shim	drm-shim-large-lock-type-normalization	Large-file fcntl commands now carry an explicit lock layout through copy sizing, validation, normalization, forwarding, and query copyback	closed	Select type-correct native and large-lock normalization paths and exercise a 32-bit ABI with offsets beyond native off_t	offline-source-history	src/drm-shim/drm_shim.c;src/amd/drm-shim/radeon_noop_drm_shim.c	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	A distinct F_GETLK64, F_SETLK64, or F_SETLKW64 command reads or rewrites fields through struct flock layout	fixed	05023afc27fcc9fb0637ecacfa425d9fc4263a81
PRRT_kwDOR3YK5M6Vut2P	vl-mpeg12-dump-run-namespace	P2	vl	vl-mpeg12-dump-run-namespace	Random 128-bit decoder-session identities, anchored roots, and exclusive frame admission prevent later runs from replacing retained evidence; collision and namespace-exhaustion calibration passes on merged main	closed	Create independent decoder sessions, refuse every final-path collision, and calibrate retained-name reuse	offline-source-history	src/gallium/auxiliary/vl/vl_mpeg12_dump.c;src/gallium/auxiliary/vl/tests/vl_mpeg12_dump_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Two decoder runs can produce the same path and silently replace the first payload	fixed	2721b9314aed7d55615d5fbf4f8247b4d0fe84fc
PRRT_kwDOR3YK5M6Vut2R	vl-mpeg12-dump-atomic-write-verdict	P2	vl	vl-mpeg12-dump-atomic-write-verdict	Transactional frame publication checks every write, close, and synchronization result and removes only publisher-owned incomplete output; failure calibration passes on merged main	closed	Write transactionally, surface every write and close failure, and prevent incomplete output from retaining the final evidence name	offline-source-history	src/gallium/auxiliary/vl/vl_mpeg12_dump.c;src/gallium/auxiliary/vl/tests/vl_mpeg12_dump_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A short or delayed failed write leaves a final raw artifact with no failure verdict	fixed	2721b9314aed7d55615d5fbf4f8247b4d0fe84fc
PRRT_kwDOR3YK5M6Vut2S	vl-mpeg12-dump-calibration	P1	vl	vl-mpeg12-dump-calibration	Known-good payloads and injected plane, padding, extent, layer, synchronization, and arithmetic mutations calibrate coefficient, stage-1, and output capture on merged main	closed	Add deterministic positive and mutation cases for coefficient, stage-1, and output surface payloads	offline-source-history	src/gallium/auxiliary/vl/vl_mpeg12_dump.c;src/gallium/auxiliary/vl/tests/vl_mpeg12_dump_test.c;src/gallium/auxiliary/vl/tests/vl_mpeg12_mc_dump_stage_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The dump can select or pack the wrong surface while its calibration still passes	fixed	2721b9314aed7d55615d5fbf4f8247b4d0fe84fc
PRRT_kwDOR3YK5M6V3PUs	new-source-spdx-only-policy	P1	governance	new-source-spdx-only-policy	Current policy requires SPDX-only headers on newly authored source unless a copyright line names a verified legal holder, superseding the reviewed blanket attribution demand	closed	Compare the test's SPDX grant with the current new-file and verified-holder rules	offline-source-history	AGENTS.md;src/gallium/auxiliary/draw/tests/draw_output_location_semantic_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Repository policy again requires an invented copyright holder on every new source file	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f
PRRT_kwDOR3YK5M6V3PUx	draw-nir-scan-discovery-provenance	P1	draw	draw-nir-scan-discovery-provenance	The output-location comment names all seven direct NIR scan functions and the exact fixed-string query, and every discovered call passes needs_texcoord_semantic as true	closed	Run the recorded fixed-string query and verify each listed call passes true	offline-source-history	src/gallium/auxiliary/draw/draw_context.c	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	The load-bearing scan invariant remains impossible to reproduce from its durable comment	fixed	60c34e778d475469fae20e0714de79464bc42136
PRRT_kwDOR3YK5M6V3PUz	draw-texcoord-semantic-comment	P2	draw	draw-texcoord-semantic-comment	The oracle comments define separate mappings from VAR0 plus n to GENERIC n and TEX0 plus n to TEXCOORD n, and the assertions require those pairs across both complete ranges	closed	Run draw-output-location-semantic and inspect the complete VAR and TEX loops	offline-source-history	src/gallium/auxiliary/draw/tests/draw_output_location_semantic_test.c	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	Durable prose continues to contradict tgsi_get_gl_varying_semantic and the TEX assertions	fixed	60c34e778d475469fae20e0714de79464bc42136
PRRT_kwDOR3YK5M6Wgag8	radeon-drm-info-result-width	P2	radeon-drm-vk	radeon-drm-info-result-width	The generic DRM_RADEON_INFO wrapper exposes uint32_t storage for requests whose kernel ABI writes uint64_t results	actionable	Provide width-specific APIs or reject non-32-bit requests before the ioctl and calibrate all three 64-bit usage counters	offline-source-history	src/amd/radeon/drm_vk/radeon_drm_vk_device.c;src/amd/radeon/drm_vk/radeon_drm_vk_device.h	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	A valid 64-bit RADEON_INFO request can write eight bytes through a four-byte stack object	requires-change	none
